1,2,3,4,5,6,7
0,-3425188,21926071,18500883,-21757271,36016893,-8679738
0,0,32768000,32768000,-16865793,35083467,-5378938
0,3425188,21926071,25351259,-8222720,11200041,-2019207
0,6812850,-3425188,3387662,578837,-19969016,1362647
0,10125868,-26509868,-16384000,5898774,-37939437,4729567
0,13327946,-32051940,-18723994,6434856,-30960757,8044670
0,16384000,-16383999,1,4060159,-3790549,11271635
0,19260547,10125868,29386415,2559170,25455347,14375104
0,21926071,29935057,51861128,5099201,37292259,17321082
0,24351369,29935057,54286426,12110635,23761858,20077286
0,26509868,10125868,36635736,20978996,-6300129,22613517
0,28377920,-16384000,11993920,27752857,-33109570,24901989
0,29935057,-32051940,-2116883,29737651,-39024659,26917627
0,31164219,-26509868,4654351,27259179,-20219085,28638350
0,32051940,-3425188,28626752,23430058,10786921,30045307
0,32588493,21926071,54514564,22073844,33412546,31123083
0,32768000,32768000,65536000,25180713,32636220,31859870
0,32588493,21926071,54514564,31578506,8936503,32247592
0,32051940,-3425188,28626752,37698712,-22024192,32282003
0,31164219,-26509868,4654351,39930605,-39763819,31962722
0,29935057,-32051940,-2116883,37005784,-32534384,31293250
0,28377920,-16383999,11993921,30835242,-5096160,30280923
0,26509868,10125868,36635736,25245054,24432109,28936832
0,24351369,29935057,54286426,23447335,36562671,27275709
0,21926071,29935057,51861128,25919993,23333980,25315746
0,19260547,10125868,29386415,30098279,-6421551,23078417
0,16383999,-16384000,-1,32082153,-32923164,20588234
0,13327946,-32051940,-18723994,29229528,-38532441,17872482
0,10125868,-26509868,-16384000,21919204,-19426441,14960913
0,6812850,-3425188,3387662,13316736,11871302,11885432
0,3425188,21926071,25351259,7297980,34776768,8679733
0,0,32768000,32768000,5904193,34265318,5378940
0,-3425188,21926071,18500883,8012527,10812610,2019212
0,-6812850,-3425188,-10238038,10101470,-19921649,-1362640
0,-10125868,-26509868,-36635736,8604460,-37457886,-4729564
0,-13327946,-32051940,-45379886,2293952,-30050334,-8044671
0,-16384000,-16383999,-32767999,-6881967,-2461211,-11271639
0,-19260547,10125868,-9134679,-15064294,27189091,-14375112
0,-21926071,29935057,8008986,-19012515,39411483,-17321083
0,-24351369,29935057,5583688,-18225160,26243414,-20077283
0,-26509868,10125868,-16384000,-15248513,-3483366,-22613512
0,-28377920,-16384000,-44761920,-13969449,-29988414,-24901984
0,-29935057,-32051940,-61986997,-17022334,-35633277,-26917626
0,-31164219,-26509868,-57674087,-24026172,-16594624,-28638354
0,-32051940,-3425188,-35477128,-31818767,14604746,-30045313
0,-32588493,21926071,-10662422,-36533136,37381892,-31123088
0,-32768000,32768000,0,-36142313,36713577,-31859869
0,-32588493,21926071,-10662422,-31788698,13077181,-32247587
0,-32051940,-3425188,-35477128,-27018404,-17865579,-32281995
0,-31164219,-26509868,-57674087,-25427370,-35632846,-31962718
0,-29935057,-32051940,-61986997,-28276975,-28476321,-31293251
0,-28377920,-16383999,-44761919,-33657049,-1155470,-30280928
0,-26509868,10125868,-16384000,-37750178,28212253,-28936840
0,-24351369,29935057,5583688,-37360649,40140855,-27275710
0,-21926071,29935057,8008986,-32034518,26671007,-25315742
0,-19260547,10125868,-9134679,-24367796,-3362237,-23078412
0,-16383999,-16384000,-32767999,-18298745,-30175074,-20588229
0,-13327946,-32051940,-45379886,-16514211,-36125683,-17872481
0,-10125868,-26509868,-36635736,-18686197,-17387379,-14960917
0,-6812850,-3425188,-10238038,-21705445,13520326,-11885439
0,-3425188,21926071,18500883,-21757271,36017690,-8679738
0,0,32768000,32768000,-16865793,35084538,-5378938
0,3425188,21926071,25351259,-8222720,11201152,-2019207
0,6812850,-3425188,3387662,578837,-19968041,1362647
0,10125868,-26509868,-16384000,5898774,-37938707,4729567
0,13327946,-32051940,-18723994,6434856,-30960316,8044670
0,16384000,-16383999,1,4060159,-3790386,11271635
0,19260547,10125868,29386415,2559170,25455284,14375104
0,21926071,29935057,51861128,5099201,37292039,17321082
0,24351369,29935057,54286426,12110635,23761557,20077286
0,26509868,10125868,36635736,20978996,-6300445,22613517
0,28377920,-16384000,11993920,27752857,-33109849,24901989
0,29935057,-32051940,-2116883,29737651,-39024869,26917627
0,31164219,-26509868,4654351,27259179,-20219213,28638350
